"name","country","medal_count","rank"
"Michael Fred Phelps, II","United States",28,1
"Larysa Semenivna Latynina (Diriy-)","Soviet Union",18,2
"Nikolay Yefimovich Andrianov","Soviet Union",15,3
"Borys Anfiyanovych Shakhlin","Soviet Union",13,4
"Takashi Ono","Japan",13,4
"Edoardo Mangiarotti","Italy",13,4
"Ole Einar Bjrndalen","Norway",13,4
"Dara Grace Torres (-Hoffman, -Minas)","United States",12,5
"Ryan Steven Lochte","United States",12,5
"Natalie Anne Coughlin (-Hall)","United States",12,5
"Paavo Johannes Nurmi","Finland",12,5
"Sawao Kato","Japan",12,5
"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)","United States",12,5
"Aleksey Yuryevich Nemov","Russia",12,5
