"country","gold","silver","bronze"
"USA",2638,1641,1358
"Russia",1599,1170,1178
"Germany",1301,1195,1260
"UK",678,739,651
"Italy",575,531,531
"France",501,610,666
"Sweden",479,522,535
"Canada",463,438,451
"Hungary",432,332,371
"Norway",378,361,294
"Australia",368,459,522
"China",351,349,293
"Netherlands",287,340,413
"Japan",247,309,357
"South Korea",221,232,185
"Finland",198,270,432
"Denmark",179,241,177
"Switzerland",175,248,268
"Cuba",164,129,116
"Romania",161,200,292
"Serbia",157,222,160
"India",138,19,40
"Czech Republic",123,262,259
"Poland",117,195,253
"Spain",110,243,136
"Brazil",109,175,191
"Austria",108,186,156
"Belgium",98,197,173
"Argentina",91,92,91
"New Zealand",90,56,82
"Greece",62,109,84
"Croatia",58,54,37
"Bulgaria",54,144,144
"Ukraine",47,52,100
"Pakistan",42,45,34
"Turkey",40,27,28
"Jamaica",38,75,44
"Kenya",34,41,31
"South Africa",32,47,52
"Uruguay",31,2,30
"Mexico",30,26,54
"Belarus",24,44,71
"Nigeria",23,30,46
"Ethiopia",22,9,22
"Cameroon",20,1,1
"Kazakhstan",20,25,32
"Iran",18,21,29
"Zimbabwe",17,4,1
"North Korea",16,16,35
"Slovakia",15,19,13
"Bahamas",14,11,15
"Estonia",13,12,25
"Indonesia",11,17,13
"Uzbekistan",10,7,17
"Thailand",9,8,13
"Ireland",9,13,13
"Slovenia",8,13,27
"Georgia",8,6,18
"Egypt",7,8,12
"Azerbaijan",7,12,25
"Trinidad",7,8,22
"Morocco",6,5,12
"Lithuania",6,7,48
"Algeria",5,4,8
"Colombia",5,9,14
"Portugal",4,11,26
"Tunisia",3,3,7
"Taiwan",3,28,18
"Dominican Republic",3,2,2
"Latvia",3,19,13
"Chile",3,9,20
"Liechtenstein",2,2,5
"Armenia",2,5,9
"Mongolia",2,10,14
"Uganda",2,3,2
"Venezuela",2,3,10
"Ivory Coast",1,1,1
"Bahrain",1,1,1
"Syria",1,2,2
"Tajikistan",1,1,2
"Costa Rica",1,1,2
"Haiti",1,1,5
"Israel",1,1,7
"Puerto Rico",1,2,6
"Individual Olympic Athletes",1,1,3
